"highwayThing","streetName"
"http://linkedgeodata.org/triplify/way361492274","Paderborner Straße"
"http://linkedgeodata.org/triplify/way36153650","Münsterstraße"
"http://linkedgeodata.org/triplify/way36487027","Emilie-Rosenthal-Weg"
"http://linkedgeodata.org/triplify/way36499225","Paderborner Straße"
"http://linkedgeodata.org/triplify/way36499226","Paderborner Straße"
"http://linkedgeodata.org/triplify/way36791488","Im Schlosspark"
"http://linkedgeodata.org/triplify/way372930678","Warburger Straße"
"http://linkedgeodata.org/triplify/way373218615","Lange Straße"
"http://linkedgeodata.org/triplify/way373218616","Lange Straße"
"http://linkedgeodata.org/triplify/way378111607","Warburger Straße"
"http://linkedgeodata.org/triplify/way37897346","Im Quinhagen"
"http://linkedgeodata.org/triplify/way37897348","Schloßstraße"
"http://linkedgeodata.org/triplify/way37897351","Im Schlosspark"
"http://linkedgeodata.org/triplify/way37897354","Im Schlosspark"
"http://linkedgeodata.org/triplify/way37897358","Sander-Bruch-Straße"
"http://linkedgeodata.org/triplify/way37897360","Klausheider Straße"
"http://linkedgeodata.org/triplify/way384943237","Rietberger Straße"
"http://linkedgeodata.org/triplify/way384943239","Rietberger Straße"
"http://linkedgeodata.org/triplify/way395461076","Alte Poststraße"
"http://linkedgeodata.org/triplify/way395461079","Alte Poststraße"
"http://linkedgeodata.org/triplify/way401120035","Paderborner Straße"
